Rank,Release Group,Worldwide,Domestic,%,Foreign,%,
187,My Worst Nightmare,$8226544,$21952,0.3%,$8204592,99.7%,
188,Cave of Forgotten Dreams,$8183347,$5304920,64.8%,$2878427,35.2%,
189,The Big Year,$8179416,$7204138,88.1%,$975278,11.9%,
190,The Company Men,$8087000,$4441272,54.9%,$3645728,45.1%,
191,The Lady,$7832142,$355391,4.5%,$7476751,95.5%,
192,Cedar Rapids,$7728936,$6861102,88.8%,$867834,11.2%,
193,Kevin Hart: Laugh at My Pain,$7706436,$7706436,100%,-,-,
194,Declaration of War,$7691610,$59100,0.8%,$7632510,99.2%,
195,Fullmetal Alchemist: The Sacred Star of Milos,$7621364,$177802,2.3%,$7443562,97.7%,
196,Take Me Home Tonight,$7550073,$6928068,91.8%,$622005,8.2%,
197,Albert Nobbs,$7532259,$3014696,40%,$4517563,60%,
198,Where Do We Go Now?,$7507008,$531997,7.1%,$6975011,92.9%,
199,Even the Rain,$7313485,$518017,7.1%,$6795468,92.9%,
200,The Beaver,$7294800,$970816,13.3%,$6323984,86.7%,
201,Incendies,$7099598,$2071334,29.2%,$5028264,70.8%,
202,The Kid with a Bike,$7011798,$1470000,21%,$5541798,79%,
203,11-11-11,$6963872,$32771,0.5%,$6931101,99.5%,
204,Don 2,$6913518,$3680306,53.2%,$3233212,46.8%,
205,The Awakening,$6879667,$209696,3%,$6669971,97%,
206,A Little Bit of Heaven,$6778388,$15375,0.2%,$6763013,99.8%,
207,The Conquest,$6637166,$74474,1.1%,$6562692,98.9%,
208,Attack the Block,$6206022,$1024175,16.5%,$5181847,83.5%,
209,Dylan Dog: Dead of Night,$5782515,$1186538,20.5%,$4595977,79.5%,
210,The Devil's Double,$5728213,$1361512,23.8%,$4366701,76.2%,
211,Chalet Girl,$5468650,$1710,<0.1%,$5466940,100%,
212,Thank You,$5452347,$463540,8.5%,$4988807,91.5%,
213,Hara-Kiri: Death of a Samurai,$5435358,$75688,1.4%,$5359670,98.6%,
214,Intruders,$5348049,$69136,1.3%,$5278913,98.7%,
215,Zindagi Na Milegi Dobara,$5192743,$3108485,59.9%,$2084258,40.1%,
216,Oranges and Sunshine,$5017653,$143480,2.9%,$4874173,97.1%,
217,Martha Marcy May Marlene,$4778439,$2990625,62.6%,$1787814,37.4%,
218,Force,$4763946,-,-,$4763946,100%,
219,The Double,$4729855,$137921,2.9%,$4591934,97.1%,
220,Bodyguard,$4690492,$1834384,39.1%,$2856108,60.9%,
221,Warriors of the Rainbow: Seediq Bale I,$4670432,$136166,2.9%,$4534266,97.1%,
222,Atlas Shrugged: Part I,$4627375,$4627375,100%,-,-,
223,Simon and the Oaks,$4505573,$150664,3.3%,$4354909,96.7%,
224,Bullhead,$4483147,$151840,3.4%,$4331307,96.6%,
225,Flypaper,$4453634,$5043,0.1%,$4448591,99.9%,
226,Buck,$4448728,$4038912,90.8%,$409816,9.2%,
227,Seven Days in Utopia,$4373074,$4373074,100%,-,-,
228,There Be Dragons,$4372642,$1069334,24.5%,$3303308,75.5%,
229,The Rabbi's Cat,$4208573,$23392,0.6%,$4185181,99.4%,
230,From Prada to Nada,$4058694,$3033623,74.7%,$1025071,25.3%,
231,Submarine,$3875173,$467602,12.1%,$3407571,87.9%,
232,The Trip,$3741198,$2030962,54.3%,$1710236,45.7%,
233,Take Shelter,$3741098,$1730296,46.3%,$2010802,53.7%,
234,Like Crazy,$3731489,$3395391,91%,$336098,9%,
235,1911,$3680151,$135739,3.7%,$3544412,96.3%,
236,Special Forces,$3424648,$10759,0.3%,$3413889,99.7%,
237,The King's Speech PG-13 Version,$3375215,$3344306,99.1%,$30909,0.9%,
238,Machine Gun Preacher,$3338690,$538690,16.1%,$2800000,83.9%,
239,Flying Swords of Dragon Gate,$3323381,$170276,5.1%,$3153105,94.9%,
240,Chicken With Plums,$3265941,$253874,7.8%,$3012067,92.2%,
241,Pastorela,$3179022,$161194,5.1%,$3017828,94.9%,
242,The Deep Blue Sea,$3115609,$1126525,36.2%,$1989084,63.8%,
243,Mumbai Diaries,$3082958,$576639,18.7%,$2506319,81.3%,
244,The Greatest Miracle,$3019382,$555166,18.4%,$2464216,81.6%,
245,Brighton Rock,$2913599,$229653,7.9%,$2683946,92.1%,
246,Starbuck,$2865068,$340058,11.9%,$2525010,88.1%,
247,The Salt of Life,$2850852,$317405,11.1%,$2533447,88.9%,
248,Everything Must Go,$2820490,$2711643,96.1%,$108847,3.9%,
249,The Cup,$2660645,-,-,$2660645,100%,
250,Bucky Larson: Born to Be a Star,$2530394,$2529395,100%,$999,<0.1%,
251,Restless,$2518012,$163265,6.5%,$2354747,93.5%,
252,Footnote,$2451259,$2007758,81.9%,$443501,18.1%,
253,The Grace Card,$2430735,$2430735,100%,-,-,
254,I Wish,$2371548,$145808,6.1%,$2225740,93.9%,
255,Desi Boyz,$2355293,$1078826,45.8%,$1276467,54.2%,
256,Terraferma,$2343302,$19996,0.9%,$2323306,99.1%,
257,Ready,$2332914,$955148,40.9%,$1377766,59.1%,
258,Elena,$2227905,$233380,10.5%,$1994525,89.5%,
259,Bill Cunningham: New York,$2210382,$1510026,68.3%,$700356,31.7%,
260,Henry's Crime,$2169799,$102541,4.7%,$2067258,95.3%,
261,The Eye of the Storm,$2104689,$83566,4%,$2021123,96%,
262,Once Upon a Time in Anatolia,$2099472,$152408,7.3%,$1947064,92.7%,
263,The Butcher the Chef and the Swordsman,$2089266,$47896,2.3%,$2041370,97.7%,
264,Beloved,$1971858,$137515,7%,$1834343,93%,
265,Another Earth,$1938783,$1321194,68.1%,$617589,31.9%,
266,The Art of Getting By,$1892130,$1430241,75.6%,$461889,24.4%,
267,The Mighty Macs,$1891936,$1891936,100%,-,-,
268,Red Lips,$1889869,$136163,7.2%,$1753706,92.8%,
269,Red State,$1874460,$1104682,58.9%,$769778,41.1%,
270,The Whistleblower,$1870392,$1124966,60.1%,$745426,39.9%,
271,A Better Life,$1863506,$1759252,94.4%,$104254,5.6%,
272,The Monk,$1809527,$13472,0.7%,$1796055,99.3%,
273,Tales of the Night,$1762194,$10975,0.6%,$1751219,99.4%,
274,Turn Me On Dammit!,$1743743,$126085,7.2%,$1617658,92.8%,
275,Wuthering Heights,$1742215,$100915,5.8%,$1641300,94.2%,
276,The Hunter,$1680778,$176669,10.5%,$1504109,89.5%,
277,Vanishing on 7th Street,$1671196,$22729,1.4%,$1648467,98.6%,
278,Rockstar,$1651601,$986697,59.7%,$664904,40.3%,
279,Crazy Mad Lover,$1597269,$993031,62.2%,$604238,37.8%,
280,I Am,$1591034,$1591034,100%,-,-,
281,Take a Shot,$1508912,$564489,37.4%,$944423,62.6%,
282,Mausam,$1473341,$728316,49.4%,$745025,50.6%,
283,Violeta Went to Heaven,$1466032,$21496,1.5%,$1444536,98.5%,
284,Tomboy,$1437501,$129834,9%,$1307667,91%,
285,Mere Brother Ki Dulhan,$1427275,$496172,34.8%,$931103,65.2%,
286,Black Butterflies,$1416573,-,-,$1416573,100%,
287,Oslo August 31st,$1386378,$101475,7.3%,$1284903,92.7%,
288,House of Tolerance,$1384443,$19327,1.4%,$1365116,98.6%,
289,A Good Old Fashioned Orgy,$1369485,$200227,14.6%,$1169258,85.4%,
290,The Oscar Nominated Short Films 2011: Live Action,$1352152,$1352152,100%,-,-,
291,Unforgivable,$1351146,$154189,11.4%,$1196957,88.6%,
292,The Snowtown Murders,$1349387,$8452,0.6%,$1340935,99.4%,
293,Texas Killing Fields,$1271319,$45469,3.6%,$1225850,96.4%,
294,The Ledge,$1247188,$9216,0.7%,$1237972,99.3%,
295,Casablanca 2011 Re-release,$1226808,$1155330,94.2%,$71478,5.8%,
296,Meek's Cutoff,$1205257,$977772,81.1%,$227485,18.9%,
297,In the Land of Blood and Honey,$1203699,$303877,25.2%,$899822,74.8%,
298,Beats Rhymes & Life: The Travels of A Tribe Called Quest,$1200326,$1200326,100%,-,-,
299,The First Grader,$1194710,$332000,27.8%,$862710,72.2%,
300,Free Men,$1192651,$53810,4.5%,$1138841,95.5%,
301,Kill the Irishman,$1188194,$1188194,100%,-,-,
302,Double Dhamaal,$1172240,$543646,46.4%,$628594,53.6%,
303,Weekend,$1128477,$484592,42.9%,$643885,57.1%,
304,The Mill and the Cross,$1116180,$312187,28%,$803993,72%,
305,The Heart Specialist,$1103037,$1103037,100%,-,-,
306,The Son of No One,$1091132,$30680,2.8%,$1060452,97.2%,
307,Page One: Inside the New York Times,$1077982,$1067028,99%,$10954,1%,
308,Reservation,$1048507,$651096,62.1%,$397411,37.9%,
309,Sidewalls,$1008116,$2377,0.2%,$1005739,99.8%,
310,Blackthorn,$987883,$200558,20.3%,$787325,79.7%,
311,The Road,$942041,$92476,9.8%,$849565,90.2%,
312,Perfect Sense,$933352,$2959,0.3%,$930393,99.7%,
313,Sholem Aleichem: Laughing in the Darkness,$906666,$906666,100%,-,-,
314,The Future,$887172,$568662,64.1%,$318510,35.9%,
315,Happythankyoumoreplease,$853862,$216110,25.3%,$637752,74.7%,
316,Higher Ground 2011 Re-release,$843370,$841733,99.8%,$1637,0.2%,
317,Children's Party,$832150,$6330,0.8%,$825820,99.2%,
318,The Lord of the Rings: The Return of the King 2011 Re-release,$818580,$818580,100%,-,-,
319,Breathing,$807436,$4630,0.6%,$802806,99.4%,
320,Pariah,$769552,$769552,100%,-,-,
321,The Lord of the Rings: The Fellowship of the Ring 2011 Re-release,$768580,$768580,100%,-,-,
322,The Lord of the Rings: The Two Towers 2011 Re-release,$764607,$764607,100%,-,-,
323,Hobo with a Shotgun,$748453,$703372,94%,$45081,6%,
324,Forks Over Knives,$739561,$739561,100%,-,-,
325,Tabloid,$731925,$696921,95.2%,$35004,4.8%,
326,Singham,$722451,$350864,48.6%,$371587,51.4%,
327,Gerhard Richter Painting,$713188,$242646,34%,$470542,66%,
328,The Polar Express 2011 IMAX Release,$711168,$711168,100%,-,-,
329,The Greatest Movie Ever Sold,$698249,$638476,91.4%,$59773,8.6%,
330,Tyrannosaur,$676111,$22321,3.3%,$653790,96.7%,
331,Another Happy Day,$659937,$8464,1.3%,$651473,98.7%,
332,La femme du Vème,$659769,$113800,17.2%,$545969,82.8%,
333,Terri,$655802,$655802,100%,-,-,
334,Rascals,$652756,$273829,41.9%,$378927,58.1%,
335,The Last Lions,$635325,$635325,100%,-,-,
336,A Beautiful Life,$634784,$66171,10.4%,$568613,89.6%,
337,No One Killed Jessica,$634297,$440525,69.5%,$193772,30.5%,
338,Sleepless Night,$624913,$3358,0.5%,$621555,99.5%,
339,Project Nim,$609880,$411184,67.4%,$198696,32.6%,
340,Life in a Day,$607169,$252788,41.6%,$354381,58.4%,
341,Trust,$595802,$120016,20.1%,$475786,79.9%,
342,Starry Starry Night,$589299,$10033,1.7%,$579266,98.3%,
343,Margaret,$564864,$46495,8.2%,$518369,91.8%,
344,Circumstance,$555511,$454121,81.7%,$101390,18.3%,
345,Creature,$533235,$508714,95.4%,$24521,4.6%,
346,Love Wedding Marriage,$515823,$1926,0.4%,$513897,99.6%,
347,Goodbye First Love,$514913,$95000,18.4%,$419913,81.6%,
348,Bol,$509872,$188850,37%,$321022,63%,
349,Bride Flight 2011 Re-release,$501360,$501360,100%,-,-,
350,Pearl Jam Twenty,$471334,$471334,100%,-,-,
351,The Perfect Host,$450885,$48764,10.8%,$402121,89.2%,
352,Kill List,$450275,$29063,6.5%,$421212,93.5%,
353,Hesher,$449702,$382946,85.2%,$66756,14.8%,
354,17 Girls,$449626,$15123,3.4%,$434503,96.6%,
355,The Sleeping Beauty,$446131,$29066,6.5%,$417065,93.5%,
356,My Kingdom,$435759,$36533,8.4%,$399226,91.6%,
357,Super,$422618,$327716,77.5%,$94902,22.5%,
358,Sleeping Beauty,$408680,$36578,9%,$372102,91%,
359,The 5th Quarter,$408159,$408159,100%,-,-,
360,Stake Land,$405380,$33245,8.2%,$372135,91.8%,
361,Happy Magic,$405268,$10697,2.6%,$394571,97.4%,
362,Into the Abyss,$393714,$223880,56.9%,$169834,43.1%,
363,Game,$381911,$139528,36.5%,$242383,63.5%,
364,Mooz-Lum,$369129,$369129,100%,-,-,
365,Seven Sins Forgiven,$365672,$270207,73.9%,$95465,26.1%,
366,Jig,$363320,$183790,50.6%,$179530,49.4%,
367,Love in Space,$358486,$34787,9.7%,$323699,90.3%,
368,Las Acacias,$354391,$6000,1.7%,$348391,98.3%,
369,El Bulli: Cooking in Progress,$343116,$237181,69.1%,$105935,30.9%,
370,Ladies vs. Ricky Bahl,$328870,-,-,$328870,100%,
371,The Day He Arrives,$322348,$13746,4.3%,$308602,95.7%,
372,5 Days of War,$316944,$17479,5.5%,$299465,94.5%,
373,Corpo Celeste 2011 Re-release,$316504,$8919,2.8%,$307585,97.2%,
374,Being Elmo: A Puppeteer's Journey,$310812,$304052,97.8%,$6760,2.2%,
375,Khodorkovsky,$294599,$39522,13.4%,$255077,86.6%,
376,Dreams of a Life,$291898,$8405,2.9%,$283493,97.1%,
377,The Interrupters,$286457,$282448,98.6%,$4009,1.4%,
378,The Black Power Mixtape 1967-1975,$280025,$273749,97.8%,$6276,2.2%,
379,Conan O'Brien Can't Stop,$267965,$267965,100%,-,-,
380,Munger Road,$266689,$266689,100%,-,-,
381,Phil Ochs: There But for Fortune,$263723,$263723,100%,-,-,
382,The Music Never Stopped,$258223,$258223,100%,-,-,
383,My Perestroika,$242707,$242707,100%,-,-,
384,Life Above All,$230529,$134461,58.3%,$96068,41.7%,
385,Wrecked,$229532,$8020,3.5%,$221512,96.5%,
386,Murder 2,$228501,$59000,25.8%,$169501,74.2%,
387,The Afflicted,$212940,$212940,100%,-,-,
388,Filth to Ashes Flesh to Dust,$202531,$202531,100%,-,-,
389,October Baby,$199442,$199442,100%,-,-,
390,Whores' Glory,$197932,$31420,15.9%,$166512,84.1%,
391,Chalo Dilli,$191185,$94300,49.3%,$96885,50.7%,
392,Amigo,$184705,$184705,100%,-,-,
393,The Man Nobody Knew: In Search of My Father CIA Spymaster William Colby,$183342,$183342,100%,-,-,
394,Go for It!,$180237,$180237,100%,-,-,
395,Cirkus Columbia,$173083,$3457,2%,$169626,98%,
396,Bellflower,$172935,$168226,97.3%,$4709,2.7%,
397,The Human Centipede II (Full Sequence),$170323,$141877,83.3%,$28446,16.7%,
398,Viva Riva!,$168982,$61759,36.5%,$107223,63.5%,
