Rank,Release Group,Worldwide,Domestic,%,Foreign,%,
1,Harry Potter and the Deathly Hallows: Part 2,$1341511219,$381011219,28.4%,$960500000,71.6%,
2,Transformers: Dark of the Moon,$1123794079,$352390543,31.4%,$771403536,68.6%,
3,Pirates of the Caribbean: On Stranger Tides,$1045713802,$241071802,23.1%,$804642000,76.9%,
4,The Twilight Saga: Breaking Dawn - Part 1,$712205856,$281287133,39.5%,$430918723,60.5%,
5,Mission: Impossible - Ghost Protocol,$694713380,$209397903,30.1%,$485315477,69.9%,
6,Kung Fu Panda 2,$665692281,$165249063,24.8%,$500443218,75.2%,
7,Fast Five,$626137675,$209837675,33.5%,$416300000,66.5%,
8,The Hangover Part II,$586764305,$254464305,43.4%,$332300000,56.6%,
9,The Smurfs,$563749323,$142614158,25.3%,$421135165,74.7%,
10,Cars 2,$559852396,$191452396,34.2%,$368400000,65.8%,
11,Puss in Boots,$554987477,$149260504,26.9%,$405726973,73.1%,
12,Sherlock Holmes: A Game of Shadows,$543848418,$186848418,34.4%,$357000000,65.6%,
13,Rio,$483866518,$143619809,29.7%,$340246709,70.3%,
14,Rise of the Planet of the Apes,$481800873,$176760185,36.7%,$305040688,63.3%,
15,Thor,$449326618,$181030624,40.3%,$268295994,59.7%,
16,The Intouchables,$426588510,$10198820,2.4%,$416389690,97.6%,
17,The Adventures of Tintin,$373993951,$77591831,20.7%,$296402120,79.3%,
18,Captain America: The First Avenger,$370569774,$176654505,47.7%,$193915269,52.3%,
19,X-Men: First Class,$352616690,$146408305,41.5%,$206208385,58.5%,
20,Alvin and the Chipmunks: Chipwrecked,$342695435,$133110742,38.8%,$209584693,61.2%,
21,Real Steel,$299268508,$85468508,28.6%,$213800000,71.4%,
22,Bridesmaids,$288383523,$169106725,58.6%,$119276798,41.4%,
23,Super 8,$260095986,$127004179,48.8%,$133091807,51.2%,
24,Rango,$245724603,$123477607,50.3%,$122246996,49.7%,
25,The Girl with the Dragon Tattoo,$232617430,$102515793,44.1%,$130101637,55.9%,
26,The Green Hornet,$227817248,$98780042,43.4%,$129037206,56.6%,
27,Immortals,$226904017,$83504017,36.8%,$143400000,63.2%,
28,Green Lantern,$219851172,$116601172,53%,$103250000,47%,
29,The Help,$216639112,$169708112,78.3%,$46931000,21.7%,
30,Bad Teacher,$216197492,$100292856,46.4%,$115904636,53.6%,
31,Just Go with It,$214945591,$103028109,47.9%,$111917482,52.1%,
32,Battle Los Angeles,$211819354,$83552429,39.4%,$128266925,60.6%,
33,Horrible Bosses,$209838559,$117538559,56%,$92300000,44%,
34,Paranormal Activity 3,$207039844,$104028807,50.2%,$103011037,49.8%,
35,Gnomeo & Juliet,$193967670,$99967670,51.5%,$94000000,48.5%,
36,Mr. Popper's Penguins,$187361754,$68224452,36.4%,$119137302,63.6%,
37,Hugo,$185770160,$73864507,39.8%,$111905653,60.2%,
38,The Lion King 2011 3D Release,$185542001,$94242001,50.8%,$91300000,49.2%,
39,Hop,$183953723,$108085305,58.8%,$75868418,41.2%,
40,War Horse,$177584879,$79884879,45%,$97700000,55%,
41,The Descendants,$177243185,$82584160,46.6%,$94659025,53.4%,
42,Cowboys & Aliens,$174822325,$100240551,57.3%,$74581774,42.7%,
43,In Time,$173930596,$37520095,21.6%,$136410501,78.4%,
44,Zookeeper,$169852759,$80360843,47.3%,$89491916,52.7%,
45,The Muppets,$165184237,$88631237,53.7%,$76553000,46.3%,
46,Limitless,$161849455,$79249455,49%,$82600000,51%,
47,Johnny English Reborn,$160078586,$8305970,5.2%,$151772616,94.8%,
48,Happy Feet Two,$159196259,$64006466,40.2%,$95189793,59.8%,
49,Final Destination 5,$157887643,$42587643,27%,$115300000,73%,
50,Midnight in Paris,$153959590,$56817045,36.9%,$97142545,63.1%,
51,Tower Heist,$152930623,$78046570,51%,$74884053,49%,
52,I Am Number Four,$149878437,$55100437,36.8%,$94778000,63.2%,
53,Jack and Jill,$149673788,$74158157,49.5%,$75515631,50.5%,
54,Friends with Benefits,$149542245,$55802754,37.3%,$93739491,62.7%,
55,No Strings Attached,$149228077,$70662220,47.4%,$78565857,52.6%,
56,Arthur Christmas,$147419472,$46462469,31.5%,$100957003,68.5%,
57,Source Code,$147332697,$54712227,37.1%,$92620470,62.9%,
58,Crazy Stupid Love,$145051197,$84351197,58.2%,$60700000,41.8%,
59,New Year's Eve,$142044638,$54544638,38.4%,$87500000,61.6%,
60,Contagion,$136515867,$75658097,55.4%,$60857770,44.6%,
61,Unknown,$135710029,$63686397,46.9%,$72023632,53.1%,
62,The Artist,$133432856,$44671682,33.5%,$88761174,66.5%,
63,The Three Musketeers,$132274484,$20374484,15.4%,$111900000,84.6%,
64,We Bought a Zoo,$120081841,$75624550,63%,$44457291,37%,
65,Water for Elephants,$117094902,$58709717,50.1%,$58385185,49.9%,
66,The Iron Lady,$115890699,$30017992,25.9%,$85872707,74.1%,
67,Moneyball,$110206216,$75605492,68.6%,$34600724,31.4%,
68,Insidious,$99557032,$54009150,54.2%,$45547882,45.8%,
69,Justin Bieber: Never Say Never,$99036827,$73013910,73.7%,$26022917,26.3%,
70,Paul,$97984015,$37412945,38.2%,$60571070,61.8%,
71,Scream 4,$97138686,$38180928,39.3%,$58957758,60.7%,
72,The Rite,$96560591,$33047633,34.2%,$63512958,65.8%,
73,Dolphin Tale,$95932565,$72286779,75.4%,$23645786,24.6%,
74,Nothing to Declare,$93811164,-,-,$93811164,100%,
75,Season of the Witch,$91627228,$24827228,27.1%,$66800000,72.9%,
76,Red Riding Hood,$90260376,$37662162,41.7%,$52598214,58.3%,
77,Sucker Punch,$89792502,$36392502,40.5%,$53400000,59.5%,
78,The Inbetweeners,$88823111,$36000,<0.1%,$88787111,100%,
79,The Lincoln Lawyer,$86752352,$58009200,66.9%,$28743152,33.1%,
80,Hall Pass,$86157237,$45060734,52.3%,$41096503,47.7%,
81,Spy Kids 4-D: All the Time in the World,$85564310,$38538188,45%,$47026122,55%,
82,J. Edgar,$84920539,$37306030,43.9%,$47614509,56.1%,
83,Big Mommas: Like Father Like Son,$82686066,$37915414,45.9%,$44770652,54.1%,
84,Abduction,$82087155,$28087155,34.2%,$54000000,65.8%,
85,Tinker Tailor Soldier Spy,$81244605,$24149393,29.7%,$57095212,70.3%,
86,Priest,$78309505,$29137000,37.2%,$49172505,62.8%,
87,Drive,$76976666,$35061555,45.5%,$41915111,54.5%,
88,The Ides of March,$76338111,$40962534,53.7%,$35375577,46.3%,
89,The Mechanic,$76130093,$29121498,38.3%,$47008595,61.7%,
90,The Change-Up,$75450437,$37081475,49.1%,$38368962,50.9%,
91,Larry Crowne,$75055070,$35608245,47.4%,$39446825,52.6%,
92,Diary of a Wimpy Kid: Rodrick Rules,$72526996,$52698535,72.7%,$19828461,27.3%,
93,The Dilemma,$69721966,$48475290,69.5%,$21246676,30.5%,
94,Something Borrowed,$65100369,$39046489,60%,$26053880,40%,
95,The Darkest Hour,$64626786,$21443494,33.2%,$43183292,66.8%,
96,Hanna,$63782078,$40259119,63.1%,$23522959,36.9%,
97,Footloose 2011 Re-release,$63543328,$51802742,81.5%,$11740586,18.5%,
98,Conan the Barbarian,$63523283,$21295021,33.5%,$42228262,66.5%,
99,Colombiana,$63458440,$36665854,57.8%,$26792586,42.2%,
100,From Up on Poppy Hill,$61459425,$1002895,1.6%,$60456530,98.4%,
101,One Day,$59389433,$13843771,23.3%,$45545662,76.7%,
102,The Tree of Life,$58409247,$13303319,22.8%,$45105928,77.2%,
103,Beginning of the Great Revival,$58309289,$151000,0.3%,$58158289,99.7%,
104,Killer Elite,$57084522,$25124966,44%,$31959556,56%,
105,Silent Hill: Revelation,$55362705,$17529157,31.7%,$37833548,68.3%,
106,Extremely Loud & Incredibly Close,$55247881,$31847881,57.6%,$23400000,42.4%,
107,Tyler Perry's Madea's Big Happy Family,$54161287,$53345287,98.5%,$816000,1.5%,
108,War of the Arrows,$50587661,$251200,0.5%,$50336461,99.5%,
109,Winnie the Pooh,$49871429,$26692846,53.5%,$23178583,46.5%,
110,Arthur,$48147945,$33035397,68.6%,$15112548,31.4%,
111,Soul Surfer,$47120948,$43853424,93.1%,$3267524,6.9%,
112,The Debt,$45636368,$31177548,68.3%,$14458820,31.7%,
113,Beastly,$43202283,$27865571,64.5%,$15336712,35.5%,
114,Shaolin,$42741494,$66099,0.2%,$42675395,99.8%,
115,Born to Be Wild,$41644475,$25978556,62.4%,$15665919,37.6%,
116,Shark Night 3D,$41363927,$18877153,45.6%,$22486774,54.4%,
117,50/50,$41097853,$35014192,85.2%,$6083661,14.8%,
118,Fright Night,$41002607,$18302607,44.6%,$22700000,55.4%,
119,Drive Angry,$40909909,$10721033,26.2%,$30188876,73.8%,
120,30 Minutes or Less,$40662632,$37053924,91.1%,$3608708,8.9%,
121,The Roommate,$40492652,$37300000,92.1%,$3192652,7.9%,
122,Dream House,$39984400,$21302340,53.3%,$18682060,46.7%,
123,Monte Carlo,$39782683,$23186769,58.3%,$16595914,41.7%,
124,Mars Needs Moms,$39233678,$21392758,54.5%,$17840920,45.5%,
125,Don't Be Afraid of the Dark,$38269529,$24046682,62.8%,$14222847,37.2%,
126,Jumping the Broom,$38158601,$37295394,97.7%,$863207,2.3%,
127,One for the Money,$38080789,$26414527,69.4%,$11666262,30.6%,
128,The Eagle,$37989684,$19490041,51.3%,$18499643,48.7%,
129,A Very Harold & Kumar Christmas,$36192775,$35061031,96.9%,$1131744,3.1%,
130,Ra.One,$35911689,$2511689,7%,$33400000,93%,
131,Courageous,$35185884,$34522221,98.1%,$663663,1.9%,
132,My Week with Marilyn,$35057696,$14600347,41.6%,$20457349,58.4%,
133,The Sitter,$34942188,$30441326,87.1%,$4500862,12.9%,
134,Jane Eyre,$34710627,$11242660,32.4%,$23467967,67.6%,
135,The Skin I Live In,$33678406,$3185812,9.5%,$30492594,90.5%,
136,The Thing,$31505287,$16928670,53.7%,$14576617,46.3%,
137,I Don't Know How She Does It,$31410151,$9662284,30.8%,$21747867,69.2%,
138,African Cats,$30857747,$15428747,50%,$15429000,50%,
139,Carnage,$30722632,$2547047,8.3%,$28175585,91.7%,
140,A Dangerous Method,$30519436,$5704709,18.7%,$24814727,81.3%,
141,What's Your Number?,$30426096,$14011084,46%,$16415012,54%,
142,The Rum Diary,$30134958,$13109815,43.5%,$17025143,56.5%,
143,Your Highness,$28013733,$21596445,77.1%,$6417288,22.9%,
144,The Women on the 6th Floor,$27533970,$719823,2.6%,$26814147,97.4%,
145,Apollo 18,$26236153,$17687709,67.4%,$8548444,32.6%,
146,Our Idiot Brother,$25804448,$24816118,96.2%,$988330,3.8%,
147,Warrior,$23308615,$13657115,58.6%,$9651500,41.4%,
148,Hoodwinked! 2011 Re-release,$23167844,$10143779,43.8%,$13024065,56.2%,
149,Young Adult,$22939027,$16311571,71.1%,$6627456,28.9%,
150,A Separation,$22926076,$7099055,31%,$15827021,69%,
151,The Front Line,$20629645,$11018,<0.1%,$20618627,99.9%,
152,Polisse,$20590872,$211440,1%,$20379432,99%,
153,The Guard,$19561904,$5360274,27.4%,$14201630,72.6%,
154,Margin Call,$19504039,$5354039,27.5%,$14150000,72.5%,
155,Shame,$19123767,$3909002,20.4%,$15214765,79.6%,
156,Headhunters,$18962444,$1200010,6.3%,$17762434,93.7%,
157,Pina,$18705853,$3524826,18.8%,$15181027,81.2%,
158,Glee: The 3D Concert Movie,$18663238,$11862398,63.6%,$6800840,36.4%,
159,We Have a Pope,$17877523,$548115,3.1%,$17329408,96.9%,
160,Melancholia,$17039814,$3030848,17.8%,$14008966,82.2%,
161,Delhi Belly,$16706074,$1532594,9.2%,$15173480,90.8%,
162,My Way,$16653488,$70177,0.4%,$16583311,99.6%,
163,Judy Moody and the Not Bummer Summer,$15691640,$15013650,95.7%,$677990,4.3%,
164,The Conspirator,$15623183,$11538204,73.9%,$4084979,26.1%,
165,Anonymous,$15395087,$4463292,29%,$10931795,71%,
166,War of the Buttons,$15082409,$47771,0.3%,$15034638,99.7%,
167,Harry Potter and the Deathly Hallows: Part 2 2018 Re-release,$14895840,$181938,1.2%,$14713902,98.8%,
168,Beginners,$14311701,$5790894,40.5%,$8520807,59.5%,
169,Seeking Justice,$14089528,$411746,2.9%,$13677782,97.1%,
170,The Well Digger's Daughter,$13194167,$386368,2.9%,$12807799,97.1%,
171,Le Havre,$12959706,$611709,4.7%,$12347997,95.3%,
172,Barney's Version,$12104765,$4439201,36.7%,$7665564,63.3%,
173,This Must Be the Place,$11928909,$143979,1.2%,$11784930,98.8%,
174,The Warring States,$11868961,$68961,0.6%,$11800000,99.4%,
175,What Women Want,$11838177,$123526,1%,$11714651,99%,
176,Win Win,$11789613,$10179275,86.3%,$1610338,13.7%,
177,Delicacy,$11597420,$498584,4.3%,$11098836,95.7%,
178,Snow Flower and the Secret Fan,$11348205,$1348205,11.9%,$10000000,88.1%,
179,Flying Monsters 3D with David Attenborough,$10813862,$5705874,52.8%,$5107988,47.2%,
180,Prom,$10702246,$10130219,94.7%,$572027,5.3%,
181,3-D Sex and Zen: Extreme Ecstasy,$10306807,$153215,1.5%,$10153592,98.5%,
182,Trespass,$10117966,$24094,0.2%,$10093872,99.8%,
183,Hysteria,$9584256,$1804139,18.8%,$7780117,81.2%,
184,Saving Private Perez,$9330465,$1400726,15%,$7929739,85%,
185,We Need to Talk About Kevin,$9232318,$1738692,18.8%,$7493626,81.2%,
186,My Piece of the Pie,$9123187,$6850,<0.1%,$9116337,99.9%,
