Rank,Release Group,Worldwide,Domestic,%,Foreign,%,
1,Bad Boys for Life,$419074646,$204417855,48.8%,$214656791,51.2%,
2,Sonic the Hedgehog,$306766470,$146066470,47.6%,$160700000,52.4%,
3,Dolittle,$223343452,$77047065,34.5%,$146296387,65.5%,
4,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,$201858461,$84158461,41.7%,$117700000,58.3%,
5,The Invisible Man,$127406822,$64914050,51%,$62492772,49%,
6,The Gentlemen,$114996853,$36296853,31.6%,$78700000,68.4%,
7,The Call of the Wild,$107604626,$62342368,57.9%,$45262258,42.1%,
8,The Grudge,$49511319,$21221803,42.9%,$28289516,57.1%,
9,Fantasy Island,$47315959,$26441782,55.9%,$20874177,44.1%,
10,Underwater,$40882928,$17291078,42.3%,$23591850,57.7%,
11,Like a Boss,$29753143,$22169514,74.5%,$7583629,25.5%,
12,Bloodshot,$29307091,$10021787,34.2%,$19285304,65.8%,
13,Emma.,$25240602,$10055355,39.8%,$15185247,60.2%,
14,Gretel & Hansel,$21542134,$15347654,71.2%,$6194480,28.8%,
15,Brahms: The Boy II,$20311536,$12611536,62.1%,$7700000,37.9%,
16,The Turning,$18594187,$15472775,83.2%,$3121412,16.8%,
17,The Way Back,$14690514,$13590514,92.5%,$1100000,7.5%,
18,La Belle Époque,$13787733,-,-,$13787733,100%,
19,I Still Believe,$11170354,$9868521,88.3%,$1301833,11.7%,
20,The Hunt,$7399986,$5812500,78.5%,$1587486,21.5%,
21,Trolls World Tour,$6306143,-,-,$6306143,100%,
22,Las Pildoras De Mi Novio,$6292780,$2971116,47.2%,$3321664,52.8%,
23,The Rhythm Section,$5989583,$5437971,90.8%,$551612,9.2%,
24,My Spy,$4897921,-,-,$4897921,100%,
25,The Last Full Measure,$3178919,$2949212,92.8%,$229707,7.2%,
26,The Lodge,$3154127,$2138907,67.8%,$1015220,32.2%,
27,Scoob!,$1842326,-,-,$1842326,100%,
28,The High Note,$1054453,-,-,$1054453,100%,
29,The King of Staten Island,$357061,-,-,$357061,100%,
30,Blind Eyes Opened,$234505,$234505,100%,-,-,
31,Burden,$156358,$139270,89.1%,$17088,10.9%,
32,14 Days 12 Nights,$122806,$122530,99.8%,$276,0.2%,
33,First Cow,$101068,$101068,100%,-,-,
