Rank,Release Group,Worldwide,Domestic,%,Foreign,%,
566,Shed of the Dead,$38901,$38901,100%,-,-,
567,Batman Forever 2019 Re-release,$38387,$38014,99%,$373,1%,
568,Memory: The Origins of Alien,$37272,$31378,84.2%,$5894,15.8%,
569,The Quiet One,$37010,$37010,100%,-,-,
570,The Death of Dick Long,$36856,$36856,100%,-,-,
571,Loro,$35613,$35613,100%,-,-,
572,Ága,$35178,$35178,100%,-,-,
573,Killer Unicorn,$33901,$33901,100%,-,-,
574,Moonlight Sonata: Deafness in Three Movements,$33823,$33823,100%,-,-,
575,An Acceptable Loss,$32427,$32427,100%,-,-,
576,10E,$32413,$32413,100%,-,-,
577,Shooting the Mafia,$32042,$10881,34%,$21161,66%,
578,Desolation Center,$32016,$32016,100%,-,-,
579,Gift,$31588,$31588,100%,-,-,
580,The Cat Rescuers,$31540,$31540,100%,-,-,
581,Buddy,$31203,$31203,100%,-,-,
582,Pasolini 2019 Re-release,$30757,$30757,100%,-,-,
583,Los Reyes,$30418,$30418,100%,-,-,
584,Lionel Richie at Glastonbury,$30123,$30123,100%,-,-,
585,The Perfect Race,$29644,$29644,100%,-,-,
586,The Ground Beneath My Feet,$29251,$29251,100%,-,-,
587,Batman & Robin 2019 Re-release,$28793,$28597,99.3%,$196,0.7%,
588,The Load,$28410,$28410,100%,-,-,
589,El Norte 2019 Re-release,$27920,$27920,100%,-,-,
590,Bauhaus Spirit: 100 Years of Bauhaus,$27768,$17122,61.7%,$10646,38.3%,
591,Leaving Home Coming Home: A Portrait of Robert Frank,$27073,$27073,100%,-,-,
592,Wrestle,$26597,$26597,100%,-,-,
593,Donnybrook,$26284,$26284,100%,-,-,
594,Strike,$24743,$15758,63.7%,$8985,36.3%,
595,Hyenas,$24672,$24672,100%,-,-,
596,The Aspern Papers,$24554,$9277,37.8%,$15277,62.2%,
597,Chasing Einstein,$24057,$24057,100%,-,-,
598,Robert the Bruce,$23425,-,-,$23425,100%,
