Rank,Release Group,Worldwide,Domestic,%,Foreign,%,
662,The Gliksmans,$5166,$5166,100%,-,-,
663,100 Acres of Hell,$5152,$5152,100%,-,-,
664,Body at Brighton Rock,$5123,$5123,100%,-,-,
665,Chulas Fronteras,$5021,$5021,100%,-,-,
666,The Garden,$5006,$5006,100%,-,-,
667,Malek,$4898,$4898,100%,-,-,
668,I'm Leaving Now,$4488,$4488,100%,-,-,
669,SGT. Will Gardner,$4405,$4405,100%,-,-,
670,Tito and the Birds,$4332,$4332,100%,-,-,
671,The Fate of Lee Khan,$4295,$4295,100%,-,-,
672,State Like Sleep,$4282,$4282,100%,-,-,
673,La Flor,$4032,$4032,100%,-,-,
674,Mother of a Day,$3919,$3919,100%,-,-,
675,Wallflower,$3801,$3801,100%,-,-,
676,The Wandering Soap Opera,$3624,$3624,100%,-,-,
677,Rottentail,$3383,$3383,100%,-,-,
678,Chasing Portraits,$3076,$3076,100%,-,-,
679,Back to the Fatherland,$2697,$2697,100%,-,-,
680,Division 19,$2680,$1699,63.4%,$981,36.6%,
681,Joan the Maid 1: The Battles,$2562,$2562,100%,-,-,
682,TINY: The Life of Erin Blackwell,$2465,$2465,100%,-,-,
683,I Lost Albert 2019 Re-release,$2354,$2354,100%,-,-,
684,A German Youth,$2343,$2343,100%,-,-,
685,Serendipity,$2298,$2298,100%,-,-,
686,Jihadists,$2104,$2104,100%,-,-,
687,Jimi Hendrix Electric Church,$1818,-,-,$1818,100%,
688,Game Day,$1624,$1624,100%,-,-,
689,The Hours and Times,$1273,$1273,100%,-,-,
690,The Untold Story,$790,$790,100%,-,-,
691,The Portal,$685,-,-,$685,100%,
